freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,allStar
2,54,-41,21,16.166375586854468,3,21.130978522438692,25,14,106.5,2,0
0,2,-5,1,46.35722222222221,0,23.86267751222243,4,1,1.8,0,0
15,136,18,54,14.58373753618527,14,20.0969963446686,59,36,310.9,20,0
4,154,-26,53,14.71907246376811,9,16.680489997789905,50,39,345.0,22,0
17,252,50,83,13.660107439361877,12,15.271297042257284,78,55,614.3,30,0
42,639,63,248,15.642405451691165,42,17.95473201559484,82,116,1401.4,73,0
2,48,-51,18,3.0436416861826725,8,17.404049588291116,46,16,170.8,5,0
9,48,-5,17,9.029632352941173,10,17.67611065035174,45,28,163.2,4,0
54,323,27,114,11.115640090543264,53,22.861577182043273,58,56,795.2,111,0
28,172,36,59,10.918889084507038,32,17.791326381940337,66,48,568.0,86,0
49,441,-65,161,12.594167449139281,64,18.093284479193507,76,94,1278.0,205,0
0,44,2,19,10.647303822937628,7,23.16411427486364,55,9,99.4,13,0
4,22,-44,9,8.014769585253454,3,20.747136742286305,19,11,86.8,13,0
12,105,3,39,17.22059067357513,10,25.238571181559816,10,12,193.0,27,0
0,6,-23,3,-1.3914155251141547,1,15.116964281314813,6,3,43.8,6,0
78,394,-104,134,12.57233045622687,55,26.243139219572516,34,40,811.0,129,0
46,240,-61,86,16.490860283238217,44,25.821059075891544,26,18,473.1,104,0
0,10,-8,4,5.9929287598944585,4,19.720180355077655,21,1,37.9,6,0
40,366,-193,139,12.241311783107399,63,18.114290992905286,59,66,959.0,108,0
46,346,-79,129,13.94199500653906,66,20.64095427488376,30,58,841.1,150,0
37,299,-16,104,12.551276179838036,51,20.537432026571008,54,39,716.2,83,0
145,954,209,344,14.63322774063462,157,25.22549393762288,82,134,1884.6,261,0
49,491,-12,188,12.752762231449719,82,23.07485676303611,82,80,1107.8,180,0
32,322,-32,121,10.68765916974376,66,19.33644661901286,79,51,893.7,125,0
8,75,-75,28,10.834883843716998,11,19.942461069227623,80,10,189.4,20,0
44,243,-163,93,11.525793700589789,38,15.628541929984701,52,123,796.9,33,0
129,719,-75,274,17.95087810638184,66,17.406060422441993,79,353,1863.1,128,0
156,1019,-163,393,15.98524151436031,89,20.19563316481695,82,289,2298.0,150,0
157,1022,-92,375,18.78041695039548,107,24.808231672585965,74,370,1909.1,136,0
185,1246,107,470,17.72580398860399,162,21.941495147614667,79,445,2632.5,289,0
151,894,-68,335,17.63067221891731,100,20.802838913025195,62,368,2017.2,228,0
31,254,95,103,16.475057081147796,30,17.29462306832502,25,80,648.2,56,0
66,364,-35,128,18.04110386079391,67,23.97234836801743,29,127,735.6,105,0
171,1126,321,434,18.291118969436724,133,19.85112796783322,75,314,2375.4,188,0
191,1109,518,429,23.63376624008564,98,21.232717773330776,68,282,2055.1,203,0
177,1013,423,398,20.55938000696621,105,17.984629026632927,73,297,2296.8,259,0
17,129,30,56,10.97580146920324,32,13.214113468524705,53,112,530.9,16,0
25,191,-153,83,10.93361264919404,51,13.580875128855402,53,198,812.7,27,0
23,119,-87,48,8.991988702765873,36,13.194805147792321,82,85,513.4,33,0
10,60,-79,25,8.182828101644251,27,12.305180892930002,64,64,334.5,19,0
1,5,-5,2,6.1047474747474775,4,18.212554383906948,10,5,19.8,3,0
5,18,-7,5,4.893612004287245,4,13.757497218203445,51,11,93.3,2,0
1,1,-5,0,-0.976024096385542,0,13.312077124985294,14,3,16.6,3,0
13,60,-72,19,6.17716552315609,3,15.554599889612073,11,20,233.2,11,0
0,2,-20,1,-7.053235294117647,2,18.629211278809766,17,1,17.0,0,0
41,294,102,105,14.288406627438833,40,22.00611241813468,82,62,645.8,87,0
74,627,113,233,13.745859147962655,88,18.785677746029087,73,134,1617.3,225,0
68,475,3,170,12.16000935294618,66,19.58724211136806,71,74,1176.1,123,0
31,149,47,51,18.039184585311364,28,20.119254287374357,26,40,358.1,75,0
28,251,-86,100,13.45343443488758,39,18.098243219972883,47,58,662.7,78,0
27,247,17,92,11.696544422098667,36,13.496140092876443,81,49,845.3,89,0
58,514,85,186,14.676944772709362,53,16.73812272063641,82,100,1269.3,140,0
1,8,-10,3,3.1220869565217404,1,14.01130380154717,1,1,34.5,1,0
22,218,-7,78,11.306630776132792,23,13.820865280930454,71,99,668.7,23,0
21,196,22,72,9.083711447987456,31,17.316738709509046,68,74,573.9,22,0
119,738,-211,252,13.609897599647647,75,16.910936283349738,77,215,1816.4,98,0
107,877,161,315,16.738917130395546,64,16.05058448112698,72,212,1994.7,108,0
62,416,-235,156,12.15013732627399,54,15.395827393178596,62,127,1208.8,68,0
59,479,9,186,14.97096577770926,56,14.55611748572448,82,143,1297.4,80,0
56,542,94,212,19.29082980456026,56,16.513845182047923,82,126,1228.0,86,0
23,146,-109,50,6.193529524539876,34,17.24826129644594,81,58,521.6,26,0
27,241,-154,91,10.710580942770653,26,15.116043937190188,80,102,693.7,20,0
51,345,-85,123,12.871916955017298,43,17.101379873136263,64,86,867.0,38,0
28,160,28,57,15.985264639639643,19,19.05567606492139,37,55,355.2,19,0
6,34,-2,12,6.401604683195591,11,15.018055971881763,24,23,145.2,7,0
41,203,-83,78,11.806041798606712,33,15.699516652386514,43,43,631.6,70,0
6,12,-49,3,0.6277919320594472,10,16.06833462958253,18,8,94.2,14,0
0,3,0,1,2.945357142857144,0,21.8410756112731,2,0,14.0,4,0
2,32,50,12,9.36405550581916,2,12.212435509403475,18,3,111.7,4,0
