season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2023,GSW,241.8,43.1,90.2,47.9,16.6,43.2,38.5,16.0,20.2,79.4,10.5,34.1,44.6,29.8,7.2,4.0,15.7,21.4,118.9,9.0,82
2023,HOU,240.9,40.6,88.9,45.7,10.4,31.9,32.7,19.1,25.3,75.4,13.4,32.9,46.3,22.4,7.3,4.6,15.5,20.5,110.7,-39.3,82
2023,IND,240.9,42.0,89.6,46.9,13.6,37.0,36.7,18.7,23.7,79.0,10.1,31.4,41.5,27.0,7.7,5.8,14.1,21.2,116.3,-15.9,82
2023,LAC,241.8,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,7.1,4.4,13.5,19.5,113.6,2.5,82
2023,LAL,242.4,42.9,89.0,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10.0,35.7,45.7,25.3,6.4,4.6,13.5,17.9,117.2,2.9,82
2023,MEM,241.2,43.7,92.1,47.5,12.0,34.2,35.1,17.5,23.8,73.3,12.0,34.6,46.6,26.0,8.3,5.8,12.9,20.0,116.9,19.7,82
2023,MIA,241.5,39.2,85.3,46.0,12.0,34.8,34.4,19.1,23.0,83.1,9.7,30.9,40.6,23.8,8.0,3.0,12.8,18.5,109.5,-1.6,82
2023,MIL,241.8,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,6.4,4.9,13.9,18.0,116.9,18.2,82
2023,MIN,241.8,42.9,87.4,49.0,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,8.0,5.4,14.8,21.6,115.8,-0.2,82
2023,NOP,242.1,42.0,87.6,48.0,11.0,30.1,36.4,19.3,24.4,79.2,10.6,33.1,43.7,25.9,8.3,4.1,14.0,20.5,114.4,9.5,82
2023,NYK,243.4,42.0,89.4,47.0,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34.0,46.6,22.9,6.4,4.1,12.0,20.3,116.0,14.6,82
2023,OKC,242.1,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.7,24.4,8.2,4.2,12.5,21.0,117.5,5.4,82
2023,ORL,241.2,40.5,86.3,47.0,10.8,31.1,34.6,19.6,25.0,78.4,10.2,33.1,43.2,23.2,7.4,4.7,14.4,20.1,111.4,-12.8,82
