season_year,teamTricode,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gamesPlayed
2022,CHA,19880.2,3508,7497,46.8,1143,3130,36.5,1298,1753,74.0,888,2767,3655,2302,707,402,1042,1629,9457,180,82
2022,CHI,19730.2,3422,7127,48.0,872,2364,36.9,1436,1766,81.3,711,2760,3471,1958,585,336,994,1540,9152,-160,82
2022,CLE,19730.1,3255,6940,46.9,953,2686,35.5,1376,1810,76.0,837,2786,3623,2064,580,343,1088,1433,8839,870,82
2022,DAL,19755.1,3222,6982,46.1,1073,3063,35.0,1341,1739,77.1,759,2769,3528,1918,552,325,960,1612,8858,1355,82
2022,DEN,19805.1,3416,7079,48.3,1039,2944,35.3,1372,1725,79.5,752,2865,3617,2279,592,305,1135,1639,9243,945,82
2022,DET,19780.2,3129,7267,43.1,925,2838,32.6,1413,1806,78.2,900,2625,3525,1924,630,393,1098,1799,8596,-3165,82
2022,GSW,19730.5,3323,7087,46.9,1176,3231,36.4,1280,1665,76.9,800,2930,3730,2223,719,372,1174,1723,9102,2270,82
2022,HOU,19755.2,3229,7083,45.6,1105,3170,34.9,1434,2010,71.3,786,2660,3446,1932,600,382,1284,1692,8997,-3475,82
2022,IND,19880.2,3398,7338,46.3,997,2899,34.4,1347,1754,76.8,925,2671,3596,2081,582,457,1117,1675,9140,-1425,82
2022,LAC,19780.2,3285,7170,45.8,1047,2802,37.4,1273,1606,79.3,747,2860,3607,1969,608,406,1068,1528,8890,10,82
2022,LAL,19980.2,3415,7279,46.9,982,2826,34.7,1380,1884,73.2,782,2826,3608,1968,626,425,1139,1654,9192,-1250,82
2022,MEM,19780.2,3571,7739,46.1,945,2679,35.3,1393,1898,73.4,1159,2873,4032,2131,800,533,1023,1620,9480,2330,82
2022,MIA,19855.2,3246,6954,46.7,1114,2936,37.9,1416,1753,80.8,807,2778,3585,2090,606,265,1129,1679,9022,1825,82
2022,MIL,19755.2,3429,7331,46.8,1153,3151,36.6,1459,1881,77.6,840,2990,3830,1960,623,326,1045,1494,9470,1375,82
2022,MIN,19780.2,3411,7458,45.7,1211,3386,35.8,1474,1894,77.8,921,2700,3621,2106,721,460,1126,1786,9507,1080,82
2022,NOP,19755.1,3294,7212,45.7,873,2629,33.2,1501,1903,78.9,981,2726,3707,2047,680,328,1089,1612,8962,-405,82
2022,NYK,19780.2,3088,7069,43.7,1082,3029,35.7,1473,1980,74.4,941,2841,3782,1793,570,399,1017,1672,8731,-50,82
2022,OKC,19805.3,3141,7310,43.0,991,3066,32.3,1233,1632,75.6,854,2887,3741,1822,622,380,1090,1497,8506,-3320,82
2022,ORL,19780.0,3139,7240,43.4,999,3022,33.1,1270,1614,78.7,746,2885,3631,1947,555,367,1132,1612,8547,-3280,82
2022,PHI,19805.3,3230,6932,46.6,950,2608,36.4,1605,1955,82.1,700,2770,3470,1945,633,435,963,1590,9015,1070,82
2022,PHX,19730.3,3581,7389,48.5,951,2616,36.4,1303,1635,79.7,801,2913,3714,2244,702,359,1012,1633,9416,3075,82
2022,POR,19730.1,3161,7144,44.2,1043,3017,34.6,1346,1771,76.0,854,2661,3515,1880,657,366,1122,1728,8711,-3640,82
2022,SAC,19805.2,3321,7223,46.0,937,2722,34.4,1466,1908,76.8,784,2737,3521,1943,588,369,1110,1552,9045,-2240,82
2022,SAS,19805.1,3546,7601,46.7,925,2626,35.2,1262,1673,75.4,901,2815,3716,2289,626,403,1009,1483,9279,50,82
2022,TOR,19855.1,3332,7489,44.5,979,2808,34.9,1327,1749,75.9,1095,2622,3717,1809,738,376,955,1607,8970,940,82
2022,UTA,19730.0,3327,7067,47.1,1192,3308,36.0,1470,1916,76.7,884,2916,3800,1836,588,402,1079,1547,9316,2475,82
2022,WAS,19830.1,3327,7056,47.2,860,2512,34.2,1393,1778,78.3,737,2798,3535,2052,522,406,1037,1545,8907,-1385,82
2023,ATL,19855.1,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,920,2719,3639,2049,580,401,1013,1541,9711,120,82
2023,BKN,19730.4,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,674,2648,3322,2093,585,506,1057,1730,9295,350,82
2023,BOS,19980.2,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,521,430,1043,1542,9671,2675,82
2023,CHA,19830.0,3385,7413,45.7,881,2669,33.0,1447,1932,74.9,901,2751,3652,2062,634,425,1121,1661,9098,-2560,82
